Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_hijos,Año_registro,Total_gasto,Total_compras,Campañas_aceptadas,Cluster_KMeans,Clusters_Jerarquicos,Cluster_DBSCAN
Licenciatura,Soltero,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,0,2012,1617,25,1,0,0,0
Licenciatura,Soltero,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,2,2014,27,6,0,1,1,0
Licenciatura,Unión Libre,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,0,2013,776,21,0,0,0,0
Licenciatura,Unión Libre,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,1,2014,53,8,0,1,1,0
Doctorado,Casado,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,1,2014,422,19,0,1,0,0
Maestría,Unión Libre,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,1,2013,716,22,0,0,0,0
Licenciatura,Divorciado,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,1,2012,590,21,0,0,0,0
Doctorado,Casado,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,1,2013,169,10,0,1,1,0
Doctorado,Unión Libre,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,1,2013,46,6,1,1,1,0
Doctorado,Unión Libre,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,2,2014,49,2,1,1,1,-1
Licenciatura,Casado,,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,1,2013,19,4,0,1,1,0
Básica,Casado,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,0,2012,61,6,0,1,1,0
Licenciatura,Divorciado,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,0,2013,1102,16,0,0,0,0
Maestría,Divorciado,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,2,2013,310,15,0,1,1,0
Licenciatura,Casado,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,39,0,2012,46,5,0,1,1,0
Doctorado,Soltero,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,80,0,2012,1315,26,3,0,0,-1
Licenciatura,Casado,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46,2,2012,96,9,0,1,1,0
Licenciatura,Unión Libre,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,80,0,2012,317,13,0,1,0,0
Maestría,Casado,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,77,1,2013,1782,26,1,0,0,-1
Posgrado,Soltero,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,41,1,2012,133,8,0,1,1,0
Licenciatura,Casado,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,44,0,2012,316,12,0,1,1,0
Licenciatura,Casado,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47,1,2013,1730,43,0,0,0,-1
Doctorado,Casado,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,77,1,2012,972,17,1,0,0,0
Doctorado,Casado,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,72,1,2014,544,20,0,0,0,0
Licenciatura,Unión Libre,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,1,2013,444,20,0,1,0,0
Licenciatura,Soltero,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,57,0,2013,75,8,0,1,1,0
Licenciatura,Casado,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,50,2,2013,257,14,0,1,0,0
Licenciatura,Soltero,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,40,1,2013,637,27,0,0,0,0
Licenciatura,Casado,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,37,1,2013,131,9,0,1,1,0
Doctorado,Casado,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,61,0,2013,1672,26,1,0,0,0
Maestría,Divorciado,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,37,0,2014,30,8,0,1,1,-1
Maestría,Unión Libre,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,0,2013,318,11,0,1,0,0
Licenciatura,Unión Libre,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,56,1,2012,120,9,1,1,0,0
Doctorado,Divorciado,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,74,2,2012,302,17,1,1,1,-1
Maestría,Casado,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,80,0,2013,1196,18,0,0,0,0
Maestría,Soltero,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,75,2,2013,65,6,0,1,1,0
Doctorado,Casado,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,56,1,2013,913,28,0,0,0,0
Posgrado,Casado,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,50,1,2013,81,9,0,1,1,0
Licenciatura,Viudo,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,1,2014,67,7,0,1,1,0
Doctorado,Divorciado,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,83,0,2013,902,24,2,0,0,-1
Licenciatura,Casado,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,46,1,2013,1395,21,0,0,0,0
Maestría,Casado,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,41,1,2013,53,7,0,1,1,0
Licenciatura,Unión Libre,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,69,1,2012,22,4,0,1,1,0
Doctorado,Soltero,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,67,0,2013,186,9,0,1,0,-1
